Authors,Title,Publication,Year,Link,Paper ID,Abstract,coincidences
['Rym Chaid'],"""Beyond the Horizon: Space Concordia's Impactful Space Education Initiatives and Innovative Learning Experiences for Future Aerospace Leaders""","IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/91305/,91305,"This paper explores Space-Concordia, a Canadian university student-led space program dedicated to fostering innovation and hands-on learning in space-related disciplines. Operating within a structured framework, Space-Concordia comprises four specialized divisions, each offering unique learning opportunities in space exploration and research.

The Rocketry Division pioneers the development of one of the first student-built liquid-fueled rockets with potential space reach. Participants gain immersive experiences in aerodynamics, avionics, propulsion, materials science, and systems engineering. They actively engage in rigorous testing and analysis, developing skills in data interpretation and iterative design processes. Notably, the division has successfully built and tested the most powerful student-built rocket engine.

In the Robotics Division, students delve into the mechanical design of Mars rovers, acquiring expertise in 3D printing, fabrication, and the construction of reliable robotic systems. Programming autonomous functionalities enhances skills in navigation algorithms and control systems, crucial for real-world applications throughout their engineering degree.

The Spacecraft Division focuses on CubeSat development, providing hands-on experience in electronics, communication systems, and space systems integration. Students navigate satellite launches and deployment intricacies, honing project management and logistical skills. Notably, students successfully deployed their first satellite to space under the Canadian Space Agency's supervision in 2023.

The pioneering Space Health Division researches on the physiological impacts of space exploration and extreme environments on the human body. Students design and implement an analog astronaut training program, fostering interdisciplinary collaboration and research methodologies. They receive training in biology, 3D printing, modeling, materials science, and scientific research publication. Students engage in scientific research methodologies, including data collection and statistical analysis, gaining skills applicable across various scientific and engineering disciplines.

These projects not only impart technical knowledge but also nurture essential soft skills such as teamwork, communication, leadership and project management. 

Space-Concordia's commitment to holistic learning ensures students cultivate not only expertise but also skills crucial for success in engineering and space exploration. The paper provides an in-depth exploration of educational methodologies, transfer of knowledge in project-based learning, and skill development opportunities, shaping future aerospace leaders.

Additionally, the paper explores Space-Concordia members' roles as educators for the undergraduate community at large, organizing educational and technical workshops, and professional development activities. Initiatives like the “Canadian Space Exploration Conference SPEX,” the “Moving2Mars Summit,” the “Intro to Astronautics Workshops Series,” the “SpaceCast: Podcast,” and various other educational and outreach endeavors are discussed, emphasizing the impact and lessons learned from these initiatives in a post-mortem standard.",2
"['Tomas Valuch', 'Adam Pinkner']",3D printed polymer structures for space applications,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/87810/,87810,"The escalating demand for agility, speed, and cost-efficiency in the space sector has catalyzed the exploration of cutting-edge manufacturing technologies and materials. This study, a collaboration between Prusa Polymers and TRL Space, scrutinizes the viability of 3D-printed polymer materials for space applications, challenging the traditional skepticism surrounding polymer use in space. This research is particularly groundbreaking due to the introduction of a novel dissipative polymer that has successfully undergone comprehensive outgassing testing, showcasing its potential for space missions.

Focusing on satellite structure manufacturing, the research employs a 1U CubeSat model to validate the material and 3D printing process. It aims to ensure these materials can withstand the harsh space environment, encompassing vacuum, thermal cycling, radiation, and mechanical stresses from launch to in-orbit operations. One of the aims of the material development is printability on desktop printers to reduce manufacturing cost and increase availability to broader audience.

The investigation led to the creation of four conceptual 1U CubeSat designs to assess printability, assembly techniques, and structural mass. Despite the structural mass of these designs being on par or slightly heavier than commercial counterparts, the study emphasizes the scope for optimization, particularly in infill design which is yet to be explored due to complexities like ESD property variations and vacuum-induced air release.

Structural analysis confirmed the designs' safety margins against expected loads, validating the feasibility of both hybrid (aluminum-polymer) and full-polymer configurations. While some designs showed less structural stiffness, the conservative analysis approach suggests that real-world applications, reinforced with additional components like solar arrays, could improve structural integrity.

This research positions the newly developed dissipative polymer, with its proven outgassing resilience, as a promising material for the space industry. It opens avenues for further optimization and underscores the need for ongoing investigation into 3D-printed polymers for space applications. The findings not only highlight the material's viability but also its potential to revolutionize space exploration and satellite technology, marking a significant step forward in the use of 3D-printed materials in space missions.",1
"['Kevin Sankar', 'Alex Ellery']",3D-Printing Mechatronics Components for Reconfigurable Robotics,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/81243/,81243,"Modularized reconfigurable robotics, using 3D-printed mechatronics components, allows for in-space manufacturing with the potential to transform spacecraft design. This paper focuses on 3D-printing a complete mechatronic system including DC motor, sensors, and electronic control circuitry to act as an individual module for reconfigurable robotics. These modules can be reconfigured to allow for more complex robotic systems with varying degrees of freedom. This is advantageous in space environments where the individual modules can be reused to provide a different functionality which reduces payload requirements. This can be expanded upon further by using lunar materials to 3D-print these modules in space. The paper models the various mechatronics components and initially prints them using copper due to its electrical characteristics.  Several topologies were evaluated for the DC motor system to determine the most efficient structure. The electrical control circuity mainly comprises of a simple P-controller and minimizes the need for external through-hole components. A simple rotary potentiometer was used as a sensor to close the feedback loop of the control system. The individual module was tested and modified so multiple modules can be connected to create more complex robotic systems. This paper discusses some of the complex systems that the individual modules were able to create. The work described in this paper can also be expanded upon for self-replicating machines in a robotic factory.",1
['Jaxson Hill'],"3DOF Air Bearing Platform As A Testbed For A Gecko Gripper
Active Debris Removal Mechanism","IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/90664/,90664,"The University of Southern California’s Space Engineering Research Center (USC SERC) has developed an in-house Air Bearing Platform (ABP) able to simulate a 3DOF in-plane frictionless space environment for use in experimentation with space-bound payloads. As this platform has a modular interface architecture, it can support the testing campaign of any project that requires a simulated space environment for research, development, and experimentation. The ABP hosts two controllable floating robots (Floatbots) that leverage air bearing pucks to create a frictionless contact with a precision-leveled table. Each Floatbot can host an experimental payload of up to 5kg, moving to a pre-specified or actively updated position and orientation, and maintaining this position on the table within 5mm and 2 degrees via on-board cold gas thrusters. Each Floatbot’s control system can also interface with experimental payloads to receive live positional control commands or host a different control scheme entirely, if desired. The ABP supports the use of passively floating objects for use in rendezvous and proximity operations (RPO) experiments in which not all relevant objects require active control. Position of each Floatbot and passive object is continuously recorded and broadcast back to each Floatbot via a Raspberry Pi camera system reading AprilTag barcode image data.

The USC SERC is currently continuing research and development of a gecko adhesion-based gripper mechanism intended for use in-orbit to perform active debris removal (ADR) operations. This project, REACCH, will extensively utilize the capabilities of the ABP for conducting tests to further understand and quantify the dynamics involved in conducting proximity, docking, and post-docking maneuvering operations of space-debris. By tracking the positional data of a piece of floating “debris” on the ABP during REACCH RPO, the team will have the opportunity to study the dynamics of each phase of an ADR mission – in particular how to model a control system necessary to both dock with a piece of debris and maneuver the spacecraft-debris system post-docking. In addition to refining the control and approach algorithms for REACCH, the data will further inform optimal gripper engagement design and controls requirements for future ADR mechanisms. 

The first part of the paper will detail the current capabilities and operations of the ABP. The second part of this paper will explore precisely how REACCH plans to utilize this platform for its own research and development, including what new capabilities of the ABP may be required or desired.",1
"['Giancarlo Genta', 'Marco Peroni', 'Giacomo Ravaglia', 'Alessandro Genta']",A Greenhouse for the first Human Mars mission,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/84872/,84872,"The time for the first human mission to Mars is closing. In the 74th IAC the authors presented the preliminary design of a fairly large Martian outpost based on additive manufacturing and passive radiation protection for the first human missions to Mars. A basic advantage of using Martian material is making it possible to build large buildings, the only limitation being the time the 3D-printing machine has for the construction work.
The size of the habitat is sufficient to provide comfort to the astronauts which is much greater than that of a typical tin-can, or even inflatable, habitat, to host a greenhouse and a workshop and other specialized zones like a sick bay. In the present paper, the work is developed to study how it is possible to supply the outpost with all the internal devices minimizing the mass to be carried from Earth. Some details on the virtual windows and the equipment required to have a functional workshop and greenhouse are described, including provisions for making maintenance and repairs of the rovers and for running hydroponic cultivations using artificial light.
If the locality chosen for the following exploration missions is the same where this outpost has been built, the outpost can be further enlarged by the robotic construction machine and can, in time, become a large permanent base.
Similar habitats can be used also for a lunar base, although the lower gravitational acceleration can make things simpler from some viewpoints and more complex from others.",1
['Fabiane Borges'],"ART AND SCIENCE & SPACE CULTURE, A BRAZILIAN EXPERIENCE
Brief reports on the SACI-E project (Subjectivity, Art and Space Sciences) carried out at INPE (National Institute for Space Research Brazil/2019-2022)","IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/89203/,89203,"In the current context, there is a renewed interest in outer space. This phenomenon demands more research in the space area and greater political representation in the decision-making spheres of geo and astropolitics, from countries like Brazil. New Space's social engagement models are dominated by a mainstream scene, which pre-establishes images of the future, without leaving much room for other perspectives. To guarantee diversity in this field, it is necessary to promote local space cultures, valuing unique knowledge about the cosmos that each society has, linking them to artistic, philosophical and techno-scientific creative networks. In times of climate change, the imagination becomes a powerful ally and a source of aesthetic innovations, in this way it is possible to deliberately architect future terraformations of the solar system, eco-design of spaceships or fable cosmist ideas that have not yet been dreamed of by new generations. From this perspective, we present the SACI-E project (Subjectivity, Art and Space Sciences), carried out at INPE (National Institute for Space Research Brazil/2019-2022). It is an art and science program based on transdisciplinarity, cultural diversity and intersectionality, whose concepts cross the studies of subjectivity, decolonial theories,  philosophy of science and scientific fiction/speculation. Several space agencies such as NASA, ESA, ESO, SPACEX, JAXA, AENC and institutes such as SETI, MIT, ISU work with space culture. Although these actions are references for the SACI-E project, it invests mainly in the creation of local references, in order to leverage Brazilian space culture, to collaborate, in this way, with global space culture in a more purposeful, original and less subordinate way. Thus, the text presents the main concepts that permeate SACI-E's curatorial line and describes its main actions (2019-2022): artistic residencies; artistic satellite construction workshops; creation of the Space Art category in the federal government's Satellite Olympics; creation of the ArtSat category in the CubeDesign satellite competition; production of the first Latin American album of space sound compositions; and the Plutocracy on Pluto course, focused on astropolitics. These activities generated noteworthy results such as transvestite satellites, satellites for sensing quilombola and indigenous territories, a satellite collecting space debris, an orbital memorial that collects names of dead people, among other wonders. The text presents the relevant connections between art and space science, in a syncretic and diverse country like Brazil.",1
"['Tommaso Tirelli', 'Paola De Carlo', 'Federico Gallizio']",ATILIUS - Additive Technologies for Innovative Low-thrust Iodine space Unit from Scrap,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/80782/,80782,"ATILIUS is an innovative fluidic space propulsion subsystem, created to reduce the consumption of material on Earth and to mitigate the generation of debris in space. The project aimed to design, simulate, optimise, fabricate, test and validate a highly efficient solid-propellant fluidic subsystem for a space-propulsion system of small satellites, made by metal 3D printing using recycled material as raw material.
With the New Space Economy, the number of satellites orbiting the Earth is increasing considerably, with a growing risk of exacerbating the problem of space debris. The best solution to mitigate this environmental threat is to ensure safe and controlled re-entry of satellites at the end of their operational life using electric propulsion systems. Mass constraints, especially in CubeSats, often prevent the addition of the propellant needed for end-of-life maneuvers.
REGULUS-50-I2 is an innovative low-thrust electric propulsion system developed by T4i specifically for small satellites, designed with a «plug & play philosophy» and using solid iodine as propellant. REGULUS current fluidic subsystem design has been optimized with ATILIUS, allowing sufficient propellant to be stored for both orbital maneuvers and de-orbiting.
The only viable solution to meet extreme mass and volume constraints is to adopt additive manufacturing (AM) technologies to fabricate the fluidic system. The Laser Powder Bed Fusion (LPBF) is an AM technology with low energy consumption (laser power 400W) and low waste generation; ATILIUS also used an innovative powder as raw material, i.e. a metal powder generated from scrap recycling, with a reduction in raw material consumption and a reduction in carbon footprint by 25% with respect to standard metal powder for AM.
In addition, a numerical tool and a thermal model of the system was developed using High Performing Computing to increase the efficiency of the device.
Once realized, ATILIUS was subjected to complete functional tests and vibration tests, demonstrating the validity of the approach adopted, from design to finishing, in a perspective of industrialization, without forgetting the sustainability aspects, quantified with a Life Cycle Assessment. The new design of ATILIUS featured a circular inflow of 96.7%, meaning that almost the 97% of the materials used came from recycled parts, contributing to circular economy goals.
ATILIUS is a joint project by the 3 Italian SMEs T4i – Technology for Innovation and Propulsion (Space), Aidro (Additive Manufacturing), Optimad (CFD Simulations) and has indirectly received funding from EU Horizon 2020 via the KYKLOS 4.0 project.",1
"['Davide Zuin', 'Simone La Luna', 'Ludovica Cavallucci', 'Filippo Maggi']",Additive Manufacturing of Space Propulsive Components: Characterization of IN718 Powder Recycling on Final Sample Properties,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/88135/,88135,"The recent proliferation of Additive Manufacturing (AM) in the space sector has been significant, primarily due to the possibility of printing complex shapes that would not be feasible with conventional methods. However, standardization of these productions is necessary, particularly when dealing with critical parts such as space propulsion components, where quality assurance is mandatory. This necessity becomes even more pronounced if the feedstock consists of recycled metal powder, whose properties may be altered by previous recycling cycles. Feedstock recycling process can be convenient for environmental footprint reduction and cost savings, although criticalities caused by potential changes in the material shall be controlled. Quality assurance analyses by means of printing verification campaigns allow to comprehend these alterations and their effects on the manufacturing of the final samples. As a result, full knowledge of the supply chain process verification becomes pivotal to ensure that the resulting printed objects meet the established manufacturing requirements. \\
The present work focuses on the characterisation of recycled Inconel 718 (IN718) powders and samples printed through Selective Laser Melting (SLM). The work is based on the evaluation of a design of experiment (DoE) exploring the manufacturing cycle of space propulsive components. The work starts with an overview of the machines and the facility implemented in the DoE; then, details on the involved tailoring process for AM of propulsive components is presented. A resume of the powder supply chain is highlighted as well, while the identification of specific samples aimed at the tracking of properties modifications through recycling steps is proposed. Through the recycling of the powder up to 11 recycling steps, samples characteristics and modifications are detailed such as dimensional errors, surface roughness values, internal channel cleanliness variations and others. By means of mechanical samples, variations on the metallurgical sample properties, such as tensile values and inner porosities percentage, are tracked as well.\\
The results of dimensional error analyses show slight deviations with respect to the expected set of tolerances. On the other side, surface roughness measurements on inclined surfaces show that changes in the microscopical deviations are limited and consistent with thermal and “staircase” effects on overhanging surfaces, even though the feedstock has been reused for a significant number of times. Nevertheless, coherent yet unpredictable trends linking the measured average surface roughness on the inclined surfaces and the printing cycles are observed and detailed.",3
"['Marco Grasso', 'Paolo Parenti', 'Tanya Scalia', 'Marco Pizzarelli', ""Giuseppe D'Amore"", 'Barbara Previtali', 'Bianca Maria Colosimo']",Additive manufacturing of copper components for the space sector: a technology comparison,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/86937/,86937,"Additive manufacturing (AM) has been pointed out to be a pivotal enabling technology within the space sector, as it allows rethinking traditional approaches to space system design and manufacturing. Leveraging AM techniques holds immense promise for enhancing the performance and reliability of space systems, as demonstrated by the achievement of flight-proven status by a constantly increasing number of additively manufactured components. In addition, AM methods provide space companies with a new capacity to reduce production costs and lead time, to enhance the sustainability of the production chain, opening also new opportunities for in-space manufacturing. In this framework, AM of copper and its alloys has attracted a wide scientific and industrial interest in the space community. Indeed, it opens a variety of relevant applications, from high-performance propulsion systems to advanced thermal management solutions, from radio-frequency equipment to on-board electronics and new payload designs. Different AM processes are suitable to produce copper parts. Each of them is characterized by specific pros and cons and by inherent limitations. Understanding the actual application boundaries for each technology is crucial for an effective adoption of AM methods in the space sectors. This paper presents a technological comparison involving three different AM processes, namely powder bed fusion with laser and electron beam energy source, and material extrusion. In this paper, the capabilities and the limits of such processes are compared using a reference geometry representative of geometrical shapes of interest for space system applications, such as thin walls and gyroid lattice structures. Physical and functional performances have been characterized and compared, highlighting the benefits and disadvantages of each method in a qualitative and quantitative way. The quantitative comparison includes process parameters such as printing speed, material utilization efficiency and post-processing requirements which can be quantitatively compared to assess the overall cost-effectiveness and productivity of each AM process. Optimization of these process parameters is driven also by the evaluation of microstructural analysis - such as grain structure and porosity - and mechanical properties - such as tensile and yield strength. In addition, a cost-benefit analysis considering initial investment, material costs and operational expenses is crucial for evaluating the economic viability of adopting each AM process in space system manufacturing. By systematically and critically evaluating physical and functional performances and conducting quantitative comparisons, stakeholders can make informed decisions regarding the selection and adoption of AM processes for space system applications.",1
"['Ariana Rossell Tapia Salas', 'María Paulina Pantoja Gavidia', 'Abril Alejandra Vázquez Sánchez', 'Atenea Marlene Jiménez Vázquez', 'María Rocío López Esquivel', 'Deni Hernandez']",Additively manufactured aerospace structures utilizing 3D-printed bioplastic derived from avocado waste,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/88864/,88864,"Currently, 3D printing has emerged as a crucial tool within the aerospace industry, facilitating the manufacture of key components or prototypes. This is particularly evident in the case of small-scale satellites operating below the stratosphere, typically for student research missions. However, its application in non-critical components has led to an increase in the use of polymeric filaments for 3D printing, which often results in significant waste and pollution once their mission time is fulfilled.

This project proposes the development of a bioplastic filament made from avocado waste, which is processed into a plastic layer and then shaped into filament. This material undergoes testing according to ASTM polymer standards to get their mechanical properties, aiming for its incorporation into cubesat design.

Structural simulations of the cubesat indicate that this material could serve as a sustainable alternative for non-critical elements that do not undergo high stress levels above stratosphere conditions. Furthermore, given its demonstrated properties, the use of this bioplastic can be extended beyond small-scale satellites, offering a sustainable option for other aeronautical components such as sounding rockets and even for constructing all parts of unmanned aircraft. However, while 3D printing makes the use of this bioplastic more practical by enabling the creation of any geometry, it's crucial to acknowledge that the material's performance will also depend on factors associated with the part's manufacturing process during printing where the differing layer adhesion could be key to modifying it in relation to the properties observed in testing.

The use of this material presents an opportunity to develop a sustainable alternative for 3D printing, as well as to repurpose waste from one of the most consumed fruits in North America, thereby contributing to ecological advancement in aerospace research.",5
