Authors,Title,Publication,Year,Link,Paper ID,Abstract,coincidences
"['Georgios Tsakyridis', 'Dominik Quantius', 'Oliver Romberg']",A Comparative Study of SCRUM and Classical Concurrent Engineering Processes for Space System Design,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/84639/,84639,"A concurrent engineering study for the design of a CubeSat focused on Earth observation, conducted within the framework of a master course, diverges from traditional methods by incorporating SCRUM agile principles as described by Álvarez and Roibás Millán (Universidad Politécnica de Madrid).
Departing from the conventional concurrent engineering process, the study begins with an in-depth discussion of the design approach to establish a prioritization strategy for the project's requirements. 
The formulation of Level 0 (mission), Level 1 (system), and Level 2 (subsystem) requirements follows, setting the foundation for the subsequent phases.
A pivotal aspect of the study involves a brief but comprehensive review of the identified requirements, ensuring alignment with the project's overarching goals. 
The implementation of SCRUM agile methods introduces a dynamic and iterative element to the process, with the requirements being tackled in sprints over a concise 4-day period. This time-boxed problem focused approach not only enhances adaptability but also fosters collaboration among multidisciplinary teams, promoting rapid progress and effective problem-solving.
This study is strategically designed for comparison with a prior project sharing identical science objectives but following the classic concurrent engineering approach. By deviating from the traditional process, this research aims to evaluate the efficacy of SCRUM agile methods in terms of adaptability, collaboration, and the timely achievement of mission-critical requirements. The juxtaposition of results from both studies provides valuable insights into the relative strengths and weaknesses of the agile approach, contributing to the advancement of concurrent engineering methodologies.",4
['Corinne Jorgenson'],A Transdisciplinary Approach to Protect the Dark and Quiet Sky: A New IAA Study,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/90588/,90588,"Astronomers became acutely aware of the impact of satellite constellations with the launch of the first 60 Starlink satellites in May 2019. Thereafter, 150 experts from astronomy, industry, space policy and the wider community conducted months of research before presenting and then publishing on the impact of satellite constellations on astronomy, which ultimately led to the foundation of the IAU Centre for the Protection of the Dark and Quiet Sky From Satellite Constellation Interference (short IAU CPS) in 2022. The IAA Space Traffic Management committee initiated transdisciplinary research on the algorithms, methods, policies, and governance required to successfully achieve the goals of protecting the dark and quiet skies, and to work as a partner of the IAU CPS to transition and integrate the results into its framework. In addition, it bridges with several transdisciplinary communities including the planetary defense, Indigenous groups and Moon farside protection. The status of the study work conducted by experts in various disciplines is presented in this paper. The two main effects of satellites on the dark and quiet sky are the amount of energy they reflect from sunlight (and Earth albedo), and the amount of energy they emit from radio transmissions and thermal radiation. After presenting the state of the current situation, the study reviews the impact of these effects on radio astronomy, planetary defense, Indigenous groups and on space ecology. Satellite producers are in the best position to positively affect these impacts since some part of the prevention or minimization can be accommodated in the very design of the satellite itself. Therefore, technical and design aspects to minimize reflections and radiation are explored, along with concepts such as Circular Space Economy and Extended Producer Responsibility. After evaluating the current legal framework and suggesting avenues for its enhancement, the paper will propose transdisciplinary approaches to address anthropogenic space object impacts and a call to action for stakeholders to protect the dark and quiet sky.",3
['Pablo Rubiolo'],A comprehensive methodology for designing a nuclear electric propulsion (NEP) concept,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/88438/,88438,"A multidisciplinary team is conducting an assessment of Nuclear Electric Propulsion technologies for the European Space Agency (ESA) within the frame of the Future Launcher Preparatory Program (FLPP). One of the key objectives of this project is to identify the more promising NEP concepts that could be developed in Europe. The starting point for this assessment are six Use-Cases (UCs) proposed by ESA, expected to cover demands for medium and long-term missions to earth, Moon, Mars orbits and exploration beyond Mars. This work presents a comprehensive methodology for designing a NEP system, beginning with the selected Use-Cases and provides preliminary results of the study. In the proposed methodology, the selected Use-Cases serve as the starting point for determining approximate mission requirements. These requirements are then refined based on an initial market assessment. The goal of the market analysis is to characterize potential markets for the Use-Case, estimate the potential payload and establish economic objectives to ensure competitiveness compared to other alternatives such as chemical and solar electric propulsion systems. The refined mission requirements derived from the original Use-Case are used to determine approximate design requirements, including the reactor power and the mission duration. Based on these design requirements, NEP design studies were conducted, considering different thermal powers from a few kilowatts to several hundred of kilowatts to cover various possible scenarios. Furthermore, following a review of existing NEP technologies, two main reference reactor concepts were selected for detailed design studies: a Heat Pipe Reactor (HPR) concept at low power applications and a Molten Salt Reactor (MSR) concept for moderate to high power applications (exceeding approximately 100 kW). The design studies aim to determine the approximate layouts and materials for the reactor, as well as define power conversion, radiator and electric propulsion systems. They also allowed for obtaining approximate estimates of the masses of the NEP system, propellant and payload for each Use-Case. Additionally, a preliminary safety analysis was included in the studies. Results from the design studies were then used to update the market assessment, providing a comprehensive evaluation of whether the proposed concepts are likely to meet the technical, safety and cost requirements necessary for competitiveness against other technologies.",1
['Jan-Peter Ceglarek'],AI4CE – Generating and Testing CubeSat Designs with the AI System Generator Hub,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/87867/,87867,"Artificial Intelligence (AI) yields the capability to bring unforeseen innovation to the systems engineering challenges. It can help to manage requirements, support with design knowledge from previous missions or help with the creation of entirely novel designs. It is not science fiction anymore to imagine a machine, where with a press of a button an AI can generate the perfect component list for a specific scenario. But which AI is the best for the job and how can this generally be achieved as well as validated? Is AI even the best option?
AI for Concurrent Engineering (AI4CE) offers the necessary tools to define a desired system, select the fitting components with multiple methods and compare their results. Thereby it enables research to test the effectiveness of AI-based system generation. Starting with the generation of CubeSat designs, the user can generate and compare results between different system generation methods (AI and non-AI) and between generated and real-world designs. The various tools of the hub enable individual steps in the system definition, generation, and comparison process. 
Current development focuses on providing analytical tools to make satellite designs comparable. First tests include generating CubeSat component lists with various methods. Dedicated dashboards analyse the behaviour of the system generation method and general performance of the generated design, with the goal to identify the feasibility of AI system generation methods for the usage in the early phases of a system design process.
The full paper provides an update on the latest developments and discusses the results of complex tests and validations to assess the feasibility of the followed approach.",1
['Nadir Atayev'],"Actual and future trends of Nanosatellite platforms, ensuring the basic concept level mission design for Sustainable Space","IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/81109/,81109,"This abstract delves into the comprehensive landscape of nanosatellite development, covering historical perspectives, mission design concepts, calculation methods, and the various phases of design and development. 

The history of nanosatellites unfolds through a captivating exploration of initial ideas and their progression into fully-fledged missions. From their beginnings, the abstract traces the evolution of nanosatellite concepts, highlighting key breakthroughs and transformative missions that have paved the way for contemporary platforms. This historical narrative sets the stage for understanding the current landscape and provides valuable insights into the foundational principles that underpin nanosatellite missions.

A significant focus of the content lies in elucidating the calculation methods employed in the trajectory from basic mission conception to detailed design. This involves examination of the mathematical and computational models used to optimize mission parameters, ensuring the efficiency and success of nanosatellite endeavors. By shedding light on these calculation methods, the abstract aims to contribute to the methodological knowledge base in nanosatellite development, facilitating the exchange of best practices and fostering advancements in mission planning, especially focusing to guide young researchers and students with simplified path.

Furthermore, the discussion extends to the design and development phases of nanosatellite missions. Detailing the intricacies of these phases, the abstract provides an insightful overview of the challenges encountered, lessons learned, and innovative solutions devised during the course of bringing a nanosatellite mission from concept to reality. Emphasizing the iterative and collaborative nature of the design process, the presentation aims to inspire and inform future endeavors in the burgeoning field of small satellite technology.

The abstract concludes with a critical analysis of results, showcasing the practical applications of nanosatellite missions and their impact on space exploration and scientific research. By exploring real-world examples and case studies, illustrates the diverse range of applications.",1
"['Hannah Sargeant', 'Steven Arnold', 'Richard Ambrosi', 'Nigel Bannister', 'Alessandra Barco', 'Daniel Kelly', 'James Kinnison', 'Ramy Mesalam', 'Paul Ostdiek', 'Emily Jane Watkinson']",An Interplanetary Communications Relay Powered by Americium-241 Fuelled Radioisotope Power Systems,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/90086/,90086,"A mission concept for a distributed interplanetary communications relay infrastructure is being developed by a team of experts in mission design and radioisotope power systems (RPS) based at the Johns Hopkins Applied Physics Laboratory and the University of Leicester, UK. 

The concept involves placing one or more communications spacecraft in orbit at multiple specified locations to serve as relays for distant spacecraft across the Solar System. By utilizing communications relays, future missions could significantly reduce the power requirements for telecommunications systems, resulting in mass, complexity, and cost savings. The University of Leicester has been developing Americium-241 (\textsuperscript{241}Am)-fuelled RPS for over a decade. Their radioisotope thermoelectric generator (RTG) design, currently at technology readiness level (TRL) 5, is being considered as a power source for this infrastructure. The long half-life of \textsuperscript{241}Am (432 years) makes it ideal for decades-long missions, ensuring a relatively constant power output over these timescales. 
The mission concept study is being conducted using the Johns Hopkins concurrent engineering facility, and leverages APL’s extensive experience in space missions and supporting the NASA RPS program. APL have designed, built, and operated numerous spacecraft, including the New Horizons probe and the upcoming Dragonfly mission, both powered by radioisotope thermoelectric generators. 

The communications relay infrastructure, facilitated by RPS, would significantly reduce the mass and power requirements of communications systems for planetary science missions, enabling greater science capabilities and supporting multiple missions over decades. As an analog, we consider the Electra telecommunications protocol in place at Mars. The Electra telecommunication package provides navigation assistance to spacecraft when they are arriving at Mars. Electra also relays signals and data from landers and rovers when they do not have direct radio contact with Earth. With the proposed concept, we look to offer telecommunications services across the Solar System.",1
"['Layla A. van Ellen', 'Monika Brandić Lipińska']",BIO-TRLs - Findings from Interdisciplinary Interviews on Projects using Biologically Active Materials and Organisms,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/87051/,87051,"The TRLs are a widely-used nine level scale to assess the maturity of a technology to be launched into space and in other engineering and design fields e.g. architectural engineering. TRLs are a valuable scale to understand advancements in readiness and development of research which is critical for transdisciplinary research. The nine levels were developed with the principle that technology is designed and fabricated on Earth before being launched into space. However, to reduce mission costs, researchers are also looking into designing space systems and materials which will be manufactured or grown in situ using living materials or organisms. Traditional inert materials being assembled by autonomous systems in space can be simulated on Earth in analogue environments, however, the behaviour of living materials or organisms cannot be accurately reproduced in analogue environments. Moreover, scaling-up biological elements is a limiting factor as well, as micro scale prototypes do not exhibit the same behaviour as macro scale systems.

Therefore, the relevance of the current TRLs for these new biomaterials and (living) organisms is limited. It is critical to have an appropriate readiness assessment for these novel materials and applications. This paper builds on a preliminary report on the development of an evolved TRLs scale for biologically active materials and organisms using a bespoke Interview Canvas to gather data. The paper presents data from a set of interviews with interdisciplinary researchers working on biological projects that spans different scale and technology readiness levels. The researchers shared data on the different stages of their research projects including the aim of each stage, the scale, the developments reached, and the methods used. In a few cases, the data was complemented by visual ecosystems and metabolisms maps showing the process of the projects throughout those stages and the relations between system components and larger systems. The data was analysed using triangulation, including superimposed diagrams, by a group of experts in the field of biologically active materials and organisms. The analysis resulted in a pathway to develop an evolved scale which sits alongside the existing TRLs, the BIO-TRLs - to assess the readiness of research in active biomaterials and organisms with a focus on space applications.",1
"['Olexiy Shynkarenko', 'Carlos Alberto Gurgel Veras', 'Jungpyo Lee', 'Artur Bertoldi', 'Enrique Unternbaumen', 'Gabriel Capparelli', 'Hugo García']",Conceptual design of a 1 kN hybrid rocket engine manufactured with additive technology,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/81960/,81960,"This research, conducted at the Chemical Propulsion Laboratory of the University of Brasília (UnB), focuses on the conceptual design, manufacturing, and testing of a 1 kN hybrid rocket engine utilizing additive manufacturing technology. The initiative is a collaborative effort, fostering a national alliance among industry, research institutes, and academia to propel Brazil's capabilities in aerospace propulsion and international collaboration, covering various facets of the project. Skills range from conceptual design and detailed drawing to numerical simulation, additive manufacturing, structural analysis, and control system design. 
The study justifies the application of 3D printing in hybrid rocket engines, outlining specific objectives, including defining engine characteristics, adapting test benches and feed systems, establishing structural requirements, and rationalizing critical design decisions. The research targets a TRL = 6 for the combustion chamber, pioneering the integrating of structural and thermal tools into additive manufacturing processes. The secondary objective is to develop and test a 3D-printed engine’s liquid cooling system as an intermediate step for developing liquid rocket propulsion systems in future projects.
Project phases have progressed through defining technical requirements, preliminary engine design, and analytical calculations of flow and heat transfer in the engine. The ongoing detailed design phase incorporates numerical optimization, material selection, and fine-tuning of the data acquisition system. Subsequent stages will involve test bench preparation, component assembly, and system integrity testing. Adhering to European Cooperation for Space Standardization (ECSS) standards ensures compliance with propulsive system development requirements, incorporating critical reviews before advancing to subsequent phases.
Envisioned as a technological demonstrator, the hybrid rocket engine with cooling capabilities advances hybrid rocket technology and stimulates growth in space systems by supporting startups and spin-offs. Project outcomes include defining the engine's envelope and enabling detailed numerical design through flow simulation and structural analysis. The innovative additive manufacturing approach significantly reduces development costs, paving the way for a diversified portfolio of modern aerospace products within the Brazilian industry. This research contributes not only to the advancement of hybrid rocket technology but also to the broader landscape of aerospace innovation and sustainable development in Brazil.",1
"['Emanuela La Bella', 'Serena Campioli', 'Luisa Iossa', 'Sabrina Corpino', 'Fabrizio Stesina']",Concurrent Model-Based Approach for CubeSat Mission Design,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/87315/,87315,"The SPACE4YOU (SPace Activities and CompEtences for industrY bOost in bUsiness) project aims at enhancing existing skills, and realities, but also at creating novel ideas and stimulating technological transfer between the Academia, large system integrators, and small-medium enterprises. This project promotes collaboration and open knowledge sharing to accelerate the development of forthcoming space technologies and applications, providing a common environment and shared tools and methods for designing, simulating, developing, and testing new space systems. One of the research contributions resulted in a Concurrent Model-Based approach based on digital tools for designing and developing missions and services of micro and nanosatellites.

This paper presents an innovative approach that combines the concurrent engineering paradigm with standardized calculation sheets linked to a CubeSat Technologies Database , facilitating the preliminary design process and enabling component selection based on applicable specifications and performance data of available technology. This combined concurrent design approach offers faster, more flexible, and transparent design management compared to traditional methods, simplifying the system design flow and the decision-making process in the early phases of a space mission project. This approach has been implemented and tested during several CubeSats projects, among them an in-orbit servicing cis-lunar mission and a CubeSat constellation around Bennu asteroid, emphasizing collaborative learning through concurrent design sessions, and encouraging both communication and resource sharing across different technical fields. The research team worked simultaneously tackling the various aspects of space mission design, from conceptual design up to subsystem sizing, supported by both standardized calculation sheets and CubeSat Technologies Database. The effectiveness of the new Concurrent Model-Based approach in achieving accurate and efficient results has been determined by assessing the design outcomes against appropriate figures of merit.

Therefore, this work contributes to the development of best practices and tools in space technology and system management, exploiting the results and outcomes of an innovative approach to small satellite design for space exploration, and promoting lessons learned within the space engineering community.

\noindent This work is part of NODES - Nord-Ovest Digitale E Sostenibile  project, financed by the MUR - Ministero dell’Università e della Ricerca (PNRR, D.D. n.1054 of 23/06/2022), involving the North-Western Italian regions of Piemonte, Valle d'Aosta and the bordering provinces of Lombardia. NODES aims to support and create scientific and industrial research chains in different areas, including Industry 4.0 For Sustainable Mobility and Aerospace coordinated by the Politecnico di Torino.",1
"['DANIEL LLOCLLA IPANAQUE', 'Cristhian Ido Campos Quispe', 'Rafael Ricardo Vasquez Rodriguez', 'Eduardo Carrion', 'RAUL MARTIN FIGUEROA TERAN', 'David Santiago Canches Gamarra']",DESIGN OF A GROUND STATION FOR THE PERUVIAN NANO-SATELLITE CHASQUI II,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/86116/,86116,"The design of the ground station for the Peruvian nanosatellite Chasqui II arises in the scenario where the optimization of economic resources is crucial, these needs and restrictions appear due to the deficient infrastructure in the terrestrial segment for satellite projects of academic-formative nature in Peru. 

The ground station of the Chasqui II project seeks to establish a full duplex communication link between the ground station and the CubeSat. They focus on ensuring reliable communication, precise control and effective response, contributing to the success of the CubeSat mission on Chasqui II.

The research will be carried out through a practical and experimental approach, the detailed design of the ground station will be considering the requirements for two-way communication and accurate tracking of the Chasqui II satellite.

The main elements that compose our design are Yagi antennas, SDR, power amplifiers, tracking systems (Rotor). In addition, it will use SatNOGS software for tracking the Chasqui II satellite.

Extensive tests will be performed to ensure the reliability and stability of the communication link. The feasibility of transmitting and receiving data signals between the Cubesat nanosatellite and the ground station was demonstrated, as well as the tracking and monitoring of the data.",1
