Authors,Title,Publication,Year,Link,Paper ID,Abstract,coincidences
['Rym Chaid'],"""Beyond the Horizon: Space Concordia's Impactful Space Education Initiatives and Innovative Learning Experiences for Future Aerospace Leaders""","IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/91305/,91305,"This paper explores Space-Concordia, a Canadian university student-led space program dedicated to fostering innovation and hands-on learning in space-related disciplines. Operating within a structured framework, Space-Concordia comprises four specialized divisions, each offering unique learning opportunities in space exploration and research.

The Rocketry Division pioneers the development of one of the first student-built liquid-fueled rockets with potential space reach. Participants gain immersive experiences in aerodynamics, avionics, propulsion, materials science, and systems engineering. They actively engage in rigorous testing and analysis, developing skills in data interpretation and iterative design processes. Notably, the division has successfully built and tested the most powerful student-built rocket engine.

In the Robotics Division, students delve into the mechanical design of Mars rovers, acquiring expertise in 3D printing, fabrication, and the construction of reliable robotic systems. Programming autonomous functionalities enhances skills in navigation algorithms and control systems, crucial for real-world applications throughout their engineering degree.

The Spacecraft Division focuses on CubeSat development, providing hands-on experience in electronics, communication systems, and space systems integration. Students navigate satellite launches and deployment intricacies, honing project management and logistical skills. Notably, students successfully deployed their first satellite to space under the Canadian Space Agency's supervision in 2023.

The pioneering Space Health Division researches on the physiological impacts of space exploration and extreme environments on the human body. Students design and implement an analog astronaut training program, fostering interdisciplinary collaboration and research methodologies. They receive training in biology, 3D printing, modeling, materials science, and scientific research publication. Students engage in scientific research methodologies, including data collection and statistical analysis, gaining skills applicable across various scientific and engineering disciplines.

These projects not only impart technical knowledge but also nurture essential soft skills such as teamwork, communication, leadership and project management. 

Space-Concordia's commitment to holistic learning ensures students cultivate not only expertise but also skills crucial for success in engineering and space exploration. The paper provides an in-depth exploration of educational methodologies, transfer of knowledge in project-based learning, and skill development opportunities, shaping future aerospace leaders.

Additionally, the paper explores Space-Concordia members' roles as educators for the undergraduate community at large, organizing educational and technical workshops, and professional development activities. Initiatives like the “Canadian Space Exploration Conference SPEX,” the “Moving2Mars Summit,” the “Intro to Astronautics Workshops Series,” the “SpaceCast: Podcast,” and various other educational and outreach endeavors are discussed, emphasizing the impact and lessons learned from these initiatives in a post-mortem standard.",1
['Atzin Fernanda Constantino Gomez'],"""Femtosatellite for Studying Thermal Atmosphere Dynamics: A Step Towards Space Debris Mitigation""","IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/82086/,82086,"In the realm of modern aerospace exploration, the growing issue of space debris poses a significant challenge for countries involved in space research and missions. To address this problem, interdisciplinary efforts are underway to find solutions and conduct research aimed at reducing the risks associated with space debris. This paper presents a foundational study for a larger research project focused on developing a femtosatellite model tailored for studying thermal atmosphere dynamics, with the ultimate goal of addressing various space debris issues.

As concerns about space debris continue to rise, femtosatellites are seen as valuable tools for monitoring and understanding how debris behaves in low Earth orbit (LEO). The term ""thermal atmosphere"" refers to the layers of gases surrounding a celestial body, such as Earth's atmosphere. Space debris, including defunct satellites and spent rocket stages, interacts with these atmospheric layers, especially in the upper atmosphere, where phenomena like drag and heating during reentry occur.

Femtosatellites, also known as femto spacecraft, are small satellites weighing just a few hundred grams. Due to their compact size and low cost, they are ideal for conducting specific scientific experiments and educational activities. Equipped with sensors, accelerometers, and GPS, femtosatellites can gather data on atmospheric density as they orbit Earth, providing precise measurements of the thermal atmosphere at different altitudes. This helps us understand atmospheric dynamics and their impact on objects in space, offering valuable insights for managing space debris during reentry events. 

In conclusion, this paper underscores the promising potential of femtosatellites in advancing our comprehension of space debris dynamics, offering practical solutions to mitigate associated risks. Furthermore, we are thrilled to present a pioneering design concept for a femtosatellite optimized for measuring thermal atmosphere conditions. By prioritizing lightweight construction and cost-efficiency, our proposed design aims to democratize access to atmospheric research, fostering collaboration and innovation in the scientific community. We anticipate that this endeavor will not only enhance our understanding of Earth's climate but also contribute to the development of sustainable space exploration practices. We look forward to further discussions and collaborations in pursuit of these ambitious goals.",1
['İlaha İsgandarova'],"""RSH: Advanced Protective Headgear for Radiation Monitoring and User Safety""","IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/84321/,84321,"Radiation Safety Helmet (RSH) is designed to monitor user's radiation and oxygen levels and provide warnings in hazardous situations. The primary objective of this design is to ensure user safety and protect them from potential dangers. The camera embedded within RSH is used to identify potential hazards around the user in advance. Sensors continuously monitor radiation and oxygen levels, transmitting this information to the indicator panel, which provides information to the user through color changes. For instance, depending on the intensity of radiation, red, yellow, or green lights may illuminate. Specifically, if the user feels unwell and is in danger, specially designed hand signals can be used to assist the user. These signals can be monitored via the camera by observers, allowing for a quick response to emergencies. The use of RSH enables users to be protected from potential hazards and take appropriate measures in emergencies. Continuous monitoring and warnings contribute to an increased awareness of safety. Thanks to its flexible design, RSH can adapt to different user needs and has a broad range of applications. The flexible design of RSH enables it to adapt to various user needs and offers a wide range of applications. While ensuring user safety, this headgear system also provides a user-friendly experience. Its flexibility allows it to adapt to different industrial and personal use scenarios , enabling RSH to be utilized in various fields. This system, capable of quickly adapting to user needs and environmental conditions, enhances safety standards while considering user comfort.",1
"['Junyeong Jeong', 'Hyunjun Im', 'Sejin Kwon']",600 seconds of qualification test on a low-toxic hypergolic bi-propellant thruster,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/89208/,89208,"Hypergolic thrusters are a key technology for in-space propulsion that requires complex operation due to their possibility of instant re-ignition reliability. Mono-propellant thrusters can be a good option for a fast reaction control system (RCS), but hypergolic bi-propellant thrusters can be a priority for fast-response propulsion systems that require a higher specific impulse. Since the 1950s, most of the hypergolic thrusters have utilized a highly carcinogenic propellant combination, hydrazines-N2O4. Conventional toxic hypergols have been maintaining their portion around leading countries, however, non- or low-toxic hypergolic propulsion engines are increasing interest in space latecomers who lack technical readiness level, operation costs, and infrastructure. Meanwhile, hydrogen peroxide (H2O2)-based hypergolic propellants are the most promising candidates among the low-toxic storable hypergols. 
The development of propulsion systems for space exploration demands meticulous evaluation and validation of their operational capabilities. This study presents the outcomes of a comprehensive qualification test conducted on a low-toxic hypergolic bi-propellant thruster using hydrogen peroxide. The thruster's performance characteristics were scrutinized under varying operational conditions to assess its reliability, efficiency, and endurance in simulated space environments. The thruster was subjected to a series of sequential tests spanning a duration of 600 seconds, emulating realistic mission scenarios including re-ignition. 
The thruster demonstrated exceptional combustion stability and consistency in performance during qualification test. Hard-start or periodic combustion instability, which frequently occur in low-toxic hypergolic thrusters, were suppressed by the flow control valve and design of the thruster. The experimental specific impulse remained within the expected range throughout the test duration. The thruster exhibited repeatable and acceptable response time and maintained thrust level within acceptable margins, highlighting its suitability for in-space mission requirements. Thermocouples strategically positioned throughout the thruster assembly confirmed that liquid film cooling system using hydrogen peroxide stably operated for entire operation. In summary, the 600-second qualification test provided comprehensive insights into the operational characteristics and performance capabilities of the low-toxic hypergolic bi-propellant thruster. The results underscore its reliability, efficiency, and endurance under simulated space conditions, affirming its potential for deployment in future in-space missions requiring precise and robust propulsion systems.",1
['Mohammad Milhim'],A Blueprint for Emerging Space Nations: Developing a Cost-Effective 6U CubeSat in Jordan,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/90811/,90811,"The Jordanian Design and Development Bureau (JODDB) presents a novel 6U CubeSat designed to empower emerging nations in the realm of cost-effective space exploration. This miniature satellite prioritizes Earth observation, equipped with a high-resolution camera capturing 5-meter Ground Sample Distance (GSD) imagery and a dependable X-band communication system for seamless data transmission. To guarantee image precision, the CubeSat incorporates a streamlined control system for optimal stabilization and orientation. This paper meticulously analyzes the strategic selection of subsystems, emphasizing the critical balance between achieving mission objectives and adhering to budgetary constraints. We will delve into JODDB's comprehensive project management strategy, encompassing meticulous budgeting, rigorous adherence to timelines, and a proactive risk mitigation plan. A cornerstone of the design is the modular architecture, enabling versatile payload configurations and future technological integration. This adaptability paves the way for potential integration into larger satellite constellations, significantly amplifying the CubeSat's mission scope and impact. JODDB's project serves as a scalable model for developing nations, demonstrating that through strategic planning and technical expertise, impactful and sustainable space missions are achievable even with limited resources. This initiative not only represents a substantial leap forward for Jordan's space program but also offers a valuable roadmap for similar endeavors on a global scale.",1
"['HAMZA MAHDI', 'Michel Kiflen', 'Feroz Balsara', 'Omar Shariff']",A Modular Nucleic Acid Extraction and Analysis System for Extraterrestrial Exploration,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/83743/,83743,"In an era where the exploration of extraterrestrial environments is becoming increasingly feasible, especially amongst private companies, the development of innovative tools for analyzing these distant worlds is paramount. Our project introduces an automated, nucleic acid-based soil sample analysis system initially developed for the international University Rover Challenge. This initiative seeks to propel forward the capabilities of robotics and engineering within the domain of life-detection. The primary objective was to design a system that is not only compact but also capable of extracting and analyzing nucleic acids (RNA and DNA) from soil samples within a constrained time frame of 30 minutes. These constraints address the critical limitations of size, weight, and power that are universally associated with space missions.

The methodology employed in the development of this system is characterized by an interdisciplinary approach, integrating mechanical durability, electronic efficiency, and software capabilities. The mechanical design is tailored to withstand the rigors of potential extraterrestrial environments, while the electronic subsystem is optimized for minimal power consumption. A Python-based software component enhances the system's usability, facilitating intuitive data processing and visualization for rapid analysis of nucleic acid extractions.

Preliminary results from field testing across different soil types have validated the system's efficacy in performing its functions within the targeted timeframe. These include purity via A260/A280 ratio and concentration. These findings underscore the system's potential utility in planetary exploration and astrobiology, where expedient and reliable onsite analysis of soil samples is of paramount importance.

In conclusion, the development of this automated nucleic acid-based soil sample analysis system exemplifies the transformative impact of academic competitions, such as the University Rover Challenge, on fostering innovations that bridge the gap between theoretical exploration and practical application. The project not only contributes to the technological advancements in space exploration but also highlights the critical role of interdisciplinary collaboration in solving the complex challenges of understanding and exploring extraterrestrial environments. The ongoing refinement and validation of the system through rigorous field tests aim to further solidify its applicability in real-world scenarios, thereby marking a significant stride toward its adoption in industrial and scientific endeavors beyond the confines of academic research.",2
"['Akshat Mohite', 'Sai Prashant Bhosale', 'Vaishnavi Dhamdhere', 'Tanaya Katke', 'Samruddhi Bhute']",A Quantitative Human Spacecraft Design Evaluation Model for Assessing Crew Accommodation and Utilization,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/87521/,87521,"Crew performance, including both accommodation and utilization factors, is an integral part of every human spaceflight mission, from commercial space tourism to the demanding journey to Mars and beyond. Spacecraft were historically built by engineers and technologists trying to adapt the vehicle into cutting-edge rocketry with the assumption that the astronauts could be trained and will adapt to the design. By and large, that is still the current state of the art. It is recognized, however, that poor human-machine design integration can lead to catastrophic and deadly mishaps. The premise of this work relies on the idea that if an accurate predictive model exists to forecast crew performance issues as a result of spacecraft design and operations, it can help designers and managers make better decisions throughout the design process and ensure that the crew members are well-integrated with the system from the very start. The result should be a high-quality, user-friendly spacecraft that optimizes the utilization of the crew while keeping them alive, healthy, and happy during the course of the mission. Therefore, the goal of this work was to develop an integrative framework to quantitatively evaluate a spacecraft design from the crew performance perspective. The approach presented here is done at a very fundamental level starting with identifying and defining basic terminology, and then builds up important axioms of human spaceflight that lay the foundation for how such a framework can be developed. With the framework established, a methodology for characterizing the outcome using a mathematical model was developed by pulling from existing metrics and data collected on human performance in space. Representative test scenarios were run to show what information could be garnered and how it could be applied as a useful, understandable metric for future spacecraft design. While the model is the primary tangible product from this research, the more interesting outcome of this work is the structure of the framework and what it tells future researchers in terms of where the gaps and limitations exist for developing a better framework. It also identifies metrics that can now be collected as part of future validation efforts for the model.",1
['Yusuke Oki'],A Study on Cost Advantage of Interorbital Transportation Network by Using Multidisciplinary System Design Optimization Approach,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/86319/,86319,"Recently, the market for orbital transfer vehicle (OTV), which is responsible for ""transportation in space"" after rocket separation, has been developing, and many private companies have already entered the OTV market for low earth orbit. In the future concept, it is expected that OTVs will be refueled and reused in an interorbital transport network that connects various orbits among the Earth, the Moon, and beyond, and future space transportation will be made dramatically more efficient. 
Previous research has examined the efficiency of the interorbital transportation network based on very futuristic technologies such as In-Situ Resource Utilization. However, in the transitional state leading up to that future, it is unclear how commercially viable the reusable OTV is and insufficient to evaluate its cost effectiveness. Therefore, the objective of this research is to develop a method for evaluating the business feasibility and cost advantage of interorbital transportation networks.
One of the problems considering the reuse of OTVs is that the mission scenario becomes more complicated than a conventional one-shot mission because the number of rocket launches will be multiple and the target and transit orbits will also be diverse. Therefore, in this research, we focus on graph theory and hierarchize mission scenarios using directed graph elements such as ""nodes"", ""edges"", ""paths"", and ""scenarios"" to enable comprehensive mission scenario search. Subsequently, a ΔV database for each path obtained by graph theory is generated by trajectory optimization to minimize required delta V under boundary conditions that maximize the rocket’s capability. By referring to this delta V database, we formulate a multidisciplinary system design optimization (MSDO) problem covering scenario, trajectory, propulsion, structure, and cost, and establish a model to minimize the unit cost of cargo transportation. Solving MSDO problem enables to evaluate the cost performance of an interorbital transportation network that utilizes the reusable OTV, taking into account the orbital dynamics and realistic constraints of spacecraft subsystems. Finally, this study demonstrates case studies on cargo transportation to near rectilinear halo orbit (NRHO) on which is Gateway will be located and low lunar orbit. It is verified that the cost performance of reusable OTV for transportation to Gateway and low lunar orbit is much superior to the conventional one-shot transportation.",2
['Pablo Rubiolo'],A comprehensive methodology for designing a nuclear electric propulsion (NEP) concept,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/88438/,88438,"A multidisciplinary team is conducting an assessment of Nuclear Electric Propulsion technologies for the European Space Agency (ESA) within the frame of the Future Launcher Preparatory Program (FLPP). One of the key objectives of this project is to identify the more promising NEP concepts that could be developed in Europe. The starting point for this assessment are six Use-Cases (UCs) proposed by ESA, expected to cover demands for medium and long-term missions to earth, Moon, Mars orbits and exploration beyond Mars. This work presents a comprehensive methodology for designing a NEP system, beginning with the selected Use-Cases and provides preliminary results of the study. In the proposed methodology, the selected Use-Cases serve as the starting point for determining approximate mission requirements. These requirements are then refined based on an initial market assessment. The goal of the market analysis is to characterize potential markets for the Use-Case, estimate the potential payload and establish economic objectives to ensure competitiveness compared to other alternatives such as chemical and solar electric propulsion systems. The refined mission requirements derived from the original Use-Case are used to determine approximate design requirements, including the reactor power and the mission duration. Based on these design requirements, NEP design studies were conducted, considering different thermal powers from a few kilowatts to several hundred of kilowatts to cover various possible scenarios. Furthermore, following a review of existing NEP technologies, two main reference reactor concepts were selected for detailed design studies: a Heat Pipe Reactor (HPR) concept at low power applications and a Molten Salt Reactor (MSR) concept for moderate to high power applications (exceeding approximately 100 kW). The design studies aim to determine the approximate layouts and materials for the reactor, as well as define power conversion, radiator and electric propulsion systems. They also allowed for obtaining approximate estimates of the masses of the NEP system, propellant and payload for each Use-Case. Additionally, a preliminary safety analysis was included in the studies. Results from the design studies were then used to update the market assessment, providing a comprehensive evaluation of whether the proposed concepts are likely to meet the technical, safety and cost requirements necessary for competitiveness against other technologies.",1
"['Carmine Giordano', 'Francesco Topputo']",A direct optimization approach for robust trajectories of interplanetary CubeSats,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/84151/,84151,"Nowadays, the space exploration is going in the direction of exploiting small platforms to get high scientific return at significantly lower costs. However, miniaturized spacecraft pose different challenges
both from the mission analysis point of view.\\
Nominal trajectories of traditional spacecraft are designed and optimized in order to satisfy only scientific requirements as well as to comply with system constraints. Although, the nominal path will unlikely be followed by the spacecraft in real-life scenarios due to uncertainty in dynamic model, navigation, and command actuation, the correction maneuvers needed to compensate deviations are considered to be a minor problem, since changing the trajectory is relatively easy with a single, short burn. Robustness and feasibility assessment of the nominal trajectory against uncertainty are performed a-posteriori. Thus, the nominal trajectory and the uncertainty assessment are decoupled and their analysis and optimization are done in two separate phases. This approach can lead to sub-optimal solutions. For large spacecraft, this procedure is acceptable since they can produce high thrust levels and they can store relevant propellant quantities; hence, sub-optimal trajectories are not critical.\\
However, small platforms are characterized by low control authority, that poses challenges in maneuvering. Therefore, correction maneuvers cannot be considered a minor problem and preliminary trajectory design
should take them into account.\\
 To solve this problem, in this work, a direct optimization method is devised to design robust trajectories for interplanetary small spacecraft. The robust optimal control problem is translated in a nonlinear programming problem by means of transcription and collocation, while a linearized approach is exploited to propagate and quantify all the uncertainties related to unmodeled perturbations, imperfect knowledge of the state, and control application. This methodology has been than applied to the interplanetary transfer of the CubeSat M-ARGO, that is planned to be the first standalone ESA deep-space CubeSat to rendezvous a near-Earth asteroid (NEA). This new technique is able to bring a 50\% save in the navigation costs, while being able to rendezvous the target asteroid with great accuracy.",1
